categoria,codigo_barras,codigo_interno,descripcion,precio_base,precio_antes_iva,precio_iva_incluido,precio_descuento_3_pct,pagina
AGILITY GOLD PERROS ADULTOS,7707205150235,150235,Agility Gold Grandes Adultos x 15 Kg,301872.0,241498.0,253572.0,245965.0,1
AGILITY GOLD PERROS ADULTOS,7707205151096,151096,Agility Gold Grandes Adultos x 8 Kg,164284.0,131428.0,137999.0,133859.0,1
AGILITY GOLD PERROS ADULTOS,17707205151222,151222,Agility Gold Grandes Adultos x 3 Kg (4 Unds),254316.0,203453.0,213626.0,207217.0,1
AGILITY GOLD PERROS ADULTOS,17707205157062,157062,Agility Gold Grandes Adultos x 3 Kg (2 Unds),129821.0,103857.0,109049.0,105778.0,1
AGILITY GOLD PERROS ADULTOS,7707205151225,151225,Agility Gold Grandes Adultos x 3 Kg,67638.0,54110.0,56816.0,55111.0,1
AGILITY GOLD PERROS ADULTOS,17707205150300,150300,"Agility Gold Grandes Adultos 6 x 1,5 Kg (6 Unds)",194795.0,155836.0,163628.0,158719.0,1
AGILITY GOLD PERROS ADULTOS,17707205157055,157055,"Agility Gold Grandes Adultos 3 x 1,5 Kg (3 Unds)",99438.0,79550.0,83528.0,81022.0,1
AGILITY GOLD PERROS ADULTOS,7707205154479,154479,Agility Gold Pequeños Adultos x 7 Kg,160005.0,128004.0,134404.0,130372.0,1
AGILITY GOLD PERROS ADULTOS,17707205154469,154469,Agility Gold Pequeños Adultos x 3 Kg (4 Unds),293109.0,234487.0,246211.0,238825.0,1
AGILITY GOLD PERROS ADULTOS,17707205157109,157109,Agility Gold Pequeños Adultos x 3 Kg (2 Unds),149623.0,119698.0,125683.0,121913.0,1
AGILITY GOLD PERROS ADULTOS,7707205154462,154462,Agility Gold Pequeños Adultos x 3 Kg,77954.0,62363.0,65482.0,63517.0,1
AGILITY GOLD PERROS ADULTOS,17707205154452,154452,Agility Gold Pequeños Adultos x 1.5 Kg (6 Unds),215027.0,172021.0,180622.0,175204.0,1
AGILITY GOLD PERROS ADULTOS,17707205157093,157093,Agility Gold Pequeños Adultos x 1.5 Kg (3 Unds),109777.0,87821.0,92213.0,89446.0,1
AGILITY GOLD PERROS ADULTOS,17707205154445,154445,Agility Gold Pequeños Adultos x 500 Gr (10 Unds),139254.0,111403.0,116973.0,113464.0,1
AGILITY GOLD PERROS ADULTOS,17707205157552,157552,Agility Gold Pequeños Adultos x 500 Gr (5 Unds),71085.0,56868.0,59712.0,57920.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,7707205157739,157739,Agility Gold Grandes Adultos Piel x 8 Kg,175717.0,140574.0,147603.0,143175.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,17707205157729,157729,Agility Gold Grandes Adultos Piel 4 x 3 Kg,299293.0,239434.0,251406.0,243864.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,17707205157903,157903,Agility Gold Grandes Adultos Piel 2 x 3 Kg,152781.0,122225.0,128336.0,124486.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,17707205157712,157712,Agility Gold Grandes Adultos Piel 6 x 1.5 Kg,236682.0,189345.0,198813.0,192848.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,17707205157897,157897,Agility Gold Grandes Adultos Piel 3 x 1.5 Kg,120820.0,96656.0,101489.0,98444.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,7707205157760,157760,Agility Gold Pequeños Adultos Piel x 8 Kg,181973.0,145579.0,152858.0,148272.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,17707205157750,157750,Agility Gold Pequeños Adultos Piel 4 x 3 Kg,309866.0,247892.0,260287.0,252478.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,17707205157927,157927,Agility Gold Pequeños Adultos Piel 2 x 3 Kg,158178.0,126542.0,132869.0,128883.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,7707205157753,157753,Agility Gold Pequeños Adultos Piel x 3 Kg,82411.0,65929.0,69226.0,67149.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,17707205157743,157743,Agility Gold Pequeños Adultos Piel 6 x 1.5 Kg,241314.0,193051.0,202703.0,196622.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS PIEL,17707205157910,157910,Agility Gold Pequeños Adultos Piel 3 x 1.5 Kg,123184.0,98547.0,103474.0,100370.0,1
AGILITY GOLD PERROS CACHORROS,7707205150228,150228,Agility Gold Grandes Cachorros x 15 Kg,321954.0,257563.0,270441.0,262328.0,1
AGILITY GOLD PERROS CACHORROS,7707205152208,152208,Agility Gold Grandes Cachorros x 8 Kg,175213.0,140170.0,147179.0,142763.0,1
AGILITY GOLD PERROS CACHORROS,17707205151239,151239,Agility Gold Grandes Cachorros x 3 Kg (4 Unds),271057.0,216845.0,227688.0,220857.0,1
AGILITY GOLD PERROS CACHORROS,17707205157086,157086,Agility Gold Grandes Cachorros x 3 Kg (2 Unds),138367.0,110693.0,116228.0,112741.0,1
AGILITY GOLD PERROS CACHORROS,17707205150287,150287,"Agility Gold Grandes Cachorros 6 x 1,5 Kg",200217.0,160174.0,168182.0,163137.0,1
AGILITY GOLD PERROS CACHORROS,17707205157079,157079,"Agility Gold Grandes Cachorros 3 x 1,5 Kg",102216.0,81773.0,85862.0,83286.0,1
AGILITY GOLD PERROS CACHORROS,7707205150259,150259,Agility Gold Pequeños Cachorros x 8 Kg,187074.0,149659.0,157142.0,152428.0,1
AGILITY GOLD PERROS CACHORROS,17707205151246,151246,Agility Gold Pequeños Cachorros x 3 Kg (4 Unds),296824.0,237459.0,249332.0,241852.0,1
AGILITY GOLD PERROS CACHORROS,17707205157123,157123,Agility Gold Pequeños Cachorros x 3 Kg (2 Unds),151521.0,121217.0,127278.0,123459.0,1
AGILITY GOLD PERROS CACHORROS,17707205150263,150263,"Agility Gold Pequeños Cachorros 6 x 1,5 Kg",222193.0,177755.0,186642.0,181043.0,1
AGILITY GOLD PERROS CACHORROS,17707205157116,157116,"Agility Gold Pequeños Cachorros 3 x 1,5 Kg",113436.0,90749.0,95286.0,92428.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS,7707205157258,157258,Agility Gold Obesos 7 Kg,148521.0,115847.0,121639.0,117990.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS,17707205151062,151062,Agility Gold Obesos 4 x 1.5 Kg,162461.0,126720.0,133056.0,129064.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS,27707205151069,151069,Agility Gold Obesos 2 x 1.5 Kg,82888.0,64652.0,67885.0,65849.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS,7707205150709,150709,Agility Gold Primera Fase 8 Kg,204712.0,159675.0,167659.0,162629.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS,17707205152878,152878,Agility Gold Primera Fase 4 x 1.5 Kg,170915.0,133314.0,139979.0,135780.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS,27707205152875,152875,Agility Gold Primera Fase 2 x 1.5 Kg,87202.0,68017.0,71418.0,69276.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS,17707205155138,155138,Agility Gold Primera Fase 6 x 500 gr,100091.0,78071.0,81975.0,79516.0,1
AGILITY GOLD CUIDADO ESPECIAL PERROS,27707205155135,155135,Agility Gold Primera Fase 3 x 500 gr,51067.0,39833.0,41824.0,40569.0,1
AGILITY GOLD GATOS,7707205154516,154516,Agility Gold Gatos x 7 Kilos,176847.0,141478.0,148552.0,144095.0,1
AGILITY GOLD GATOS,17707205154858,154858,Agility Gold Gatos 4 x 1.5 Kilos,167187.0,133750.0,140437.0,136224.0,1
AGILITY GOLD GATOS,17707205157163,157163,Agility Gold Gatos 2 x 1.5 Kilos,85345.0,68276.0,71690.0,69539.0,1
AGILITY GOLD GATOS,17707205154506,154506,Agility Gold Gatos 3 x 3 Kilos,239057.0,191245.0,200808.0,194783.0,1
AGILITY GOLD GATOS,7707205154509,154509,Agility Gold Gatos x 3 Kilos,84773.0,67819.0,71210.0,69073.0,1
AGILITY GOLD GATOS,17707205154483,154483,Agility Gold Gatos 10 x 500 Gr,145688.0,116550.0,122378.0,118707.0,1
AGILITY GOLD GATOS,17707205157156,157156,Agility Gold Gatos 5 x 500 Gr,74370.0,59496.0,62471.0,60596.0,1
AGILITY GOLD GATITOS,17707205158207,158207,Agility Gold Gatitos 3 x 3 Kilos,265071.0,212057.0,222659.0,215980.0,1
AGILITY GOLD GATITOS,7707205158200,158200,Agility Gold Gatitos x 3 Kilos,93997.0,75198.0,78958.0,76589.0,1
AGILITY GOLD GATITOS,17707205158191,158191,Agility Gold Gatitos 4 x 1.5 Kilos,185782.0,148626.0,156057.0,151375.0,1
AGILITY GOLD GATITOS,17707205154400,154400,Agility Gold Gatitos 2 x 1.5 Kilos,94837.0,75870.0,79663.0,77273.0,1
AGILITY GOLD GATITOS,17707205158184,158184,Agility Gold Gatitos 10 x 500 Gramos,171615.0,137292.0,144157.0,139832.0,1
AGILITY GOLD GATITOS,17707205153892,153892,Agility Gold Gatitos 5 x 500 Gramos,87606.0,70084.0,73589.0,71381.0,1
AGILITY GOLD CUIDADO ESPECIAL GATOS ESTERILIZADOS,N/A,150693,Agility Gold Gatos Esterilizados x 7 Kg,195091.0,152171.0,159780.0,154986.0,1
AGILITY GOLD CUIDADO ESPECIAL GATOS ESTERILIZADOS,17707205155251,155251,Agility Gold Gatos Esterilizados 3 x 3 Kg,258162.0,201366.0,211435.0,205092.0,1
AGILITY GOLD CUIDADO ESPECIAL GATOS ESTERILIZADOS,770720515254,155254,Agility Gold Gatos Esterilizados x 3 Kg,91547.0,71407.0,74977.0,72728.0,1
AGILITY GOLD CUIDADO ESPECIAL GATOS ESTERILIZADOS,17707205150737,150737,Agility Gold Gatos Esterilizados 4 x 1.5 Kg,181946.0,141918.0,149013.0,144543.0,1
AGILITY GOLD CUIDADO ESPECIAL GATOS ESTERILIZADOS,27707205150734,150734,Agility Gold Gatos Esterilizados 2 x 1.5 Kg,92830.0,72407.0,76028.0,73747.0,1
AGILITY GOLD HUMEDOS PERRO,17707205154537,154537,Agility Gold Trozos de Cordero 12 x 100 Gr,59389.0,42760.0,44898.0,43551.0,2
AGILITY GOLD HUMEDOS PERRO,17707205154230,154230,Agility Gold En Trozos de Carne de Res 12 x 100 Gr,60453.0,43526.0,45703.0,44332.0,2
AGILITY GOLD HUMEDOS PERRO,17707205154247,154247,Agility Gold Trozos de Pavo 12 x 100 Gr,60624.0,43649.0,45831.0,44457.0,2
AGILITY GOLD HUMEDOS PERRO,17707205157958,157958,Agility Gold Trozos Cordero Cachorro 12 x 100,66441.0,47838.0,50230.0,48723.0,2
AGILITY GOLD HUMEDOS PERRO,17707205154834,154837,Agility Gold Trozos Surtido 12 x 100 Gr,60155.0,43312.0,45477.0,44113.0,2
AGILITY GOLD HUMEDOS PERRO,17707205157347,157347,Agility Poch Sutido Pague 3 Lleve 4,15039.0,10828.0,11369.0,11028.0,2
AGILITY GOLD PREMIOS PERRO,17707205159143,159143,Agility Gold Premios 6 x 250 Gr,123598.0,88991.0,93440.0,90637.0,2
AGILITY GOLD PREMIOS PERRO,27707205159140,159140,Agility Gold Premios 3 x 250 Gr,63081.0,45418.0,47689.0,46258.0,2
AGILITY GOLD PREMIOS PERRO,17707205159969,159969,Bombonera Agility Premios x 2 Kilos,133246.0,95937.0,100734.0,97712.0,2
AGILITY GOLD PREMIOS PERRO,7707205159962,159962,Bombonera Agility Premios x 1 Kilo,66624.0,47969.0,50368.0,48857.0,2
AGILITY GOLD PREMIOS PERRO,17707205158993,158993,Recarga Bombonera Agility Premios x 2 Kg,103313.0,74385.0,78104.0,75761.0,2
AGILITY GOLD PREMIOS PERRO,7707205158996,158996,Recarga Bombonera Agility Premios x 1 Kg,51657.0,37193.0,39053.0,37881.0,2
AGILITY GOLD PREMIOS PERRO,17707205154810,154810,Agility Premios Dental 6 x 150 Gr,67110.0,48320.0,50736.0,49213.0,2
AGILITY GOLD PREMIOS PERRO,17707205150812,150812,Agility Premios Dental Bombonera 2 x 500 Gr,84601.0,60913.0,63958.0,62039.0,2
AGILITY GOLD PREMIOS PERRO,7707205150815,150815,Agility Premios Dental Bombonera x 500 Gr,42300.0,30456.0,31979.0,31020.0,2
AGILITY GOLD PREMIOS GATO,27707205152240,152240,Agility Gold Premios Gatos 5 x 100 Gr,60107.0,42075.0,44178.0,42853.0,2
AGILITY GOLD PREMIOS GATO,17707205152007,152000,Agility Gold Premios Gatos 5 x 75 Gr,45080.0,31556.0,33134.0,32140.0,2
AGILITY GOLD LATAS ENTERICAS PERRO,17707205154438,154438,Agility Enterico Lata Caja 6 x 140 Gr,56204.0,42153.0,44261.0,42933.0,2
AGILITY GOLD LATAS ENTERICAS PERRO,17707205155435,155435,Agility Enterico Lata Caja 6 x 360 Gr,113535.0,85151.0,89409.0,86727.0,2
AGILITY GOLD LATAS ENTERICAS GATO,17707205154018,154018,Agility Enterico Gatos Caja 6 x 140 Gr,62343.0,46757.0,49095.0,47622.0,2
AGILITY GOLD LATAS ENTERICAS GATO,N/A,M288,Agility Enterico Gatos Pague 5 lleve 6 x 140 Gr,51952.0,38964.0,40912.0,39685.0,2
MENÚ NATURAL EXTR PERRO,17707205157774,157774,Menu Nat Ext Perro Res Pack 4x3 Kilos,476189.0,357141.0,374998.0,363749.0,2
MENÚ NATURAL EXTR PERRO,27707205157771,157771,Menu Nat Ext Perro Res Pack 2x3 Kilos,242953.0,182215.0,191326.0,185586.0,2
MENÚ NATURAL EXTR PERRO,7707205157777,157777,Menu Nat Ext Perro Res Pack x 3 Kilos,126646.0,94984.0,99734.0,96742.0,2
MENÚ NATURAL EXTR PERRO,17707205153219,153219,Menu Nat Ext Perro Res Pack 4x1.5 Kilos,250000.0,187500.0,196875.0,190969.0,2
MENÚ NATURAL EXTR PERRO,37707205153213,153213,Menu Nat Ext Perro Res Pack 2x1.5 Kilos,127551.0,95663.0,100446.0,97433.0,2
MENÚ NATURAL EXTR PERRO,7707205153212,153212,Menu Nat Ext Perro Res Pack x1.5 Kilos,66490.0,49867.0,52361.0,50790.0,2
MENÚ NATURAL EXTR PERRO,17707205159266,159266,Menu Nat Ext Perro Pollo/Salmon Pack 4x3 Kilos,476189.0,357141.0,374998.0,363749.0,2
MENÚ NATURAL EXTR PERRO,27707205159263,159263,Menu Nat Ext Perro Pollo/Salmon Pack 2x3 Kilos,242953.0,182215.0,191326.0,185586.0,2
MENÚ NATURAL EXTR PERRO,7707205159269,159269,Menu Nat Ext Perro Pollo/Salmon Pack x 3 Kilos,126646.0,94984.0,99734.0,96742.0,2
MENÚ NATURAL EXTR PERRO,17707205154339,154339,Menu Nat Ext Perro Pollo/Salmon Pack 4x1.5 Kilos,250000.0,187500.0,196875.0,190969.0,2
MENÚ NATURAL EXTR PERRO,27707205154336,154336,Menu Nat Ext Perro Pollo/Salmon Pack 2x1.5 Kilos,127551.0,95663.0,100446.0,97433.0,2
